"Plot Title: LOMULOAR"
"#","Date Time, GMT-05:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
112,04/12/15 12:45:03 AM,-0.2488,0.1935,-0.3353,0.1848
113,04/12/15 04:45:03 AM,-0.1856,0.1928,-0.2844,0.1848
114,04/12/15 08:45:03 AM,-0.1980,0.1935,-0.3033,0.1855
115,04/12/15 12:45:03 PM,-0.2067,0.1942,-0.3520,0.1877
116,04/12/15 04:45:03 PM,-0.2350,0.1971,-0.3578,0.1920
117,04/12/15 08:45:03 PM,-0.1748,0.2538,-0.2474,0.2291
118,04/13/15 12:45:03 AM,-0.1711,0.2276,-0.2416,0.2160
119,04/13/15 04:45:03 AM,-0.1530,0.2247,-0.2147,0.2196
120,04/13/15 08:45:03 AM,-0.1871,0.2269,-0.2256,0.2160
121,04/13/15 12:45:03 PM,-0.1748,0.2363,-0.2060,0.2218
122,04/13/15 04:45:03 PM,-0.1849,0.2291,-0.3396,0.2167
123,04/13/15 08:45:03 PM,-0.2372,0.2196,-0.3251,0.2073
124,04/14/15 12:45:03 AM,-0.3011,0.2160,-0.3324,0.2022
125,04/14/15 04:45:03 AM,-0.2786,0.2138,-0.3200,0.2008
126,04/14/15 08:45:03 AM,-0.2677,0.2124,-0.3033,0.2000
127,04/14/15 12:45:03 PM,-0.2307,0.2124,-0.3091,0.2015
128,04/14/15 04:45:03 PM,-0.2270,0.2131,-0.3425,0.2015
129,04/14/15 08:45:03 PM,-0.2583,0.2116,-0.2953,0.2000
130,04/15/15 12:45:03 AM,-0.2554,0.2102,-0.3011,0.1993
131,04/15/15 04:45:03 AM,-0.2387,0.2080,-0.3069,0.1971
132,04/15/15 08:45:03 AM,-0.2111,0.2066,-0.3033,0.1964
133,04/15/15 12:45:03 PM,-0.1733,0.2080,-0.3483,0.2008
134,04/15/15 04:45:03 PM,-0.2597,0.2044,-0.1980,0.1978
135,04/15/15 08:45:03 PM,-0.4006,0.1986,-0.2953,0.1877
136,04/16/15 12:45:03 AM,-0.3861,0.1971,-0.1326,0.1855
137,04/16/15 04:45:03 AM,-0.3781,0.1957,-0.1573,0.1848
138,04/16/15 08:45:03 AM,-0.3280,0.1964,-0.1624,0.1855
