"Plot Title: LOMULOAR"
"#","Date Time, GMT-06:00","Water Content, m³/m³","Water Content, m³/m³","Water Content, m³/m³"
154,03/28/16 11:06:54 PM,0.1695,-0.3120,0.1303
155,03/29/16 03:06:54 AM,0.1688,-0.3295,0.1296
156,03/29/16 07:06:54 AM,0.1681,-0.3367,0.1303
157,03/29/16 11:06:54 AM,0.1688,-0.2438,0.1310
158,03/29/16 03:06:54 PM,0.1659,0.0141,0.1252
159,03/29/16 07:06:54 PM,0.1644,-0.2764,0.1252
160,03/29/16 11:06:54 PM,0.1644,-0.3229,0.1252
161,03/30/16 03:06:54 AM,0.1644,-0.3316,0.1252
162,03/30/16 07:06:54 AM,0.1652,-0.3098,0.1252
163,03/30/16 11:06:54 AM,0.1659,-0.3106,0.1267
164,03/30/16 03:06:54 PM,0.1673,-0.2895,0.1274
165,03/30/16 07:06:54 PM,0.1673,-0.2910,0.1274
166,03/30/16 11:06:54 PM,0.1673,-0.2902,0.1281
167,03/31/16 03:06:54 AM,0.1673,-0.2939,0.1288
168,03/31/16 07:06:54 AM,0.1673,-0.2895,0.1288
169,03/31/16 11:06:54 AM,0.1673,0.1572,0.1281
170,03/31/16 03:06:54 PM,0.1630,0.0308,0.1209
171,03/31/16 07:06:54 PM,0.1594,-0.3157,0.1180
172,03/31/16 11:06:54 PM,0.1579,-0.3796,0.1172
173,04/01/16 03:06:54 AM,0.1564,-0.2300,0.1172
174,04/01/16 07:06:54 AM,0.1564,-0.2546,0.1165
175,04/01/16 11:06:54 AM,0.1579,-0.2416,0.1187
176,04/01/16 03:06:54 PM,0.1557,-0.2125,0.1172
177,04/01/16 07:06:54 PM,0.1564,-0.2772,0.1180
178,04/01/16 11:06:54 PM,0.1564,-0.2321,0.1180
179,04/02/16 03:06:54 AM,0.1564,-0.2162,0.1180
180,04/02/16 07:06:54 AM,0.1564,-0.2191,0.1180
181,04/02/16 11:06:54 AM,0.1572,0.1274,0.1201
182,04/02/16 03:06:54 PM,0.1514,0.1572,0.1085
183,04/02/16 07:06:54 PM,0.1477,-0.2822,0.1056
184,04/02/16 11:06:54 PM,0.1463,-0.3672,0.1056
185,04/03/16 03:06:54 AM,0.1456,-0.3767,0.1049
186,04/03/16 07:06:54 AM,0.1456,-0.3672,0.1049
187,04/03/16 11:06:54 AM,0.1448,0.1608,0.1034
188,04/03/16 03:06:54 PM,0.1376,0.1790,0.0882
189,04/03/16 07:06:54 PM,0.1332,-0.2612,0.0838
190,04/03/16 11:06:54 PM,0.1325,-0.3258,0.0845
191,04/04/16 03:06:54 AM,0.1325,-0.3396,0.0853
192,04/04/16 07:06:54 AM,0.1318,-0.3258,0.0853
193,04/04/16 11:06:54 AM,0.1303,0.1739,0.0816
194,04/04/16 03:06:54 PM,0.1223,0.1928,0.0649
195,04/04/16 07:06:54 PM,0.1165,-0.2147,0.0598
196,04/04/16 11:06:54 PM,0.1158,-0.3033,0.0620
197,04/05/16 03:06:54 AM,0.1158,-0.3331,0.0613
198,04/05/16 07:06:54 AM,0.1158,-0.3331,0.0620
199,04/05/16 11:06:54 AM,0.1136,0.2037,0.0591
200,04/05/16 03:06:54 PM,0.1049,0.1986,0.0475
201,04/05/16 07:06:54 PM,0.0991,-0.1275,0.0431
202,04/05/16 11:06:54 PM,0.0983,-0.2467,0.0431
203,04/06/16 03:06:54 AM,0.0983,-0.2677,0.0439
204,04/06/16 07:06:54 AM,0.0983,-0.2467,0.0446
205,04/06/16 11:06:54 AM,0.0962,0.1390,0.0431
206,04/06/16 03:06:54 PM,0.0889,0.1906,0.0402
207,04/06/16 07:06:54 PM,0.0838,-0.1348,0.0344
208,04/06/16 11:06:54 PM,0.0831,-0.2525,0.0344
209,04/07/16 03:06:54 AM,0.0831,-0.2684,0.0344
210,04/07/16 07:06:54 AM,0.0831,-0.2612,0.0352
211,04/07/16 11:06:54 AM,0.0802,0.2051,0.0366
212,04/07/16 03:06:54 PM,0.0715,0.1746,0.0322
213,04/07/16 07:06:54 PM,0.0671,-0.0963,0.0279
214,04/07/16 11:06:54 PM,0.0664,-0.2249,0.0272
215,04/08/16 03:06:54 AM,0.0664,-0.2510,0.0264
216,04/08/16 07:06:54 AM,0.0664,-0.2459,0.0272
217,04/08/16 11:06:54 AM,0.0642,0.2066,0.0301
218,04/08/16 03:06:54 PM,0.0577,0.2138,0.0286
219,04/08/16 07:06:54 PM,0.0548,-0.0702,0.0235
220,04/08/16 11:06:54 PM,0.0540,-0.1864,0.0214
221,04/09/16 03:06:54 AM,0.0533,-0.2147,0.0214
222,04/09/16 07:06:54 AM,0.0540,-0.1733,0.0214
223,04/09/16 11:06:54 AM,0.0533,0.1739,0.0243
224,04/09/16 03:06:54 PM,0.0511,0.1666,0.0235
225,04/09/16 07:06:54 PM,0.0497,-0.0288,0.0214
226,04/09/16 11:06:54 PM,0.0490,-0.1704,0.0199
227,04/10/16 03:06:54 AM,0.0490,-0.2147,0.0199
228,04/10/16 07:06:54 AM,0.0490,-0.2082,0.0206
229,04/10/16 11:06:54 AM,0.0497,0.2037,0.0243
230,04/10/16 03:06:54 PM,0.0475,0.1572,0.0235
231,04/10/16 07:06:54 PM,0.0453,-0.0092,0.0206
232,04/10/16 11:06:54 PM,0.0453,-0.0469,0.0199
233,04/11/16 03:06:54 AM,0.0453,-0.1246,0.0199
234,04/11/16 07:06:54 AM,0.0475,0.2371,0.0228
235,04/11/16 11:06:54 AM,0.0490,-0.1769,0.0250
236,04/11/16 03:06:54 PM,0.0504,-0.2590,0.0264
237,04/11/16 07:06:54 PM,0.0504,-0.2939,0.0250
238,04/11/16 11:06:54 PM,0.0511,0.2610,0.0264
239,04/12/16 03:06:54 AM,0.0511,-0.1166,0.0272
240,04/12/16 07:06:54 AM,0.0519,-0.0564,0.0279
241,04/12/16 11:06:54 AM,0.0526,-0.2655,0.0293
242,04/12/16 03:06:54 PM,0.0533,-0.3396,0.0293
243,04/12/16 07:06:54 PM,0.0533,-0.3462,0.0279
244,04/12/16 11:06:54 PM,0.0533,-0.2605,0.0286
245,04/13/16 03:06:54 AM,0.0555,0.2269,0.0322
246,04/13/16 07:06:54 AM,0.0795,-0.1740,0.1100
247,04/13/16 11:06:54 AM,0.0867,-0.2401,0.1136
248,04/13/16 03:06:54 PM,0.0904,-0.3999,0.1143
249,04/13/16 07:06:54 PM,0.0933,-0.3905,0.1129
250,04/13/16 11:06:54 PM,0.0947,-0.4006,0.1114
251,04/14/16 03:06:54 AM,0.0962,-0.3447,0.1092
252,04/14/16 07:06:54 AM,0.0969,-0.3048,0.1085
253,04/14/16 11:06:54 AM,0.0976,-0.0593,0.1078
254,04/14/16 03:06:54 PM,0.0976,0.1012,0.1071
255,04/14/16 07:06:54 PM,0.0962,-0.4006,0.1034
256,04/14/16 11:06:54 PM,0.0954,-0.4006,0.1027
257,04/15/16 03:06:54 AM,0.0947,-0.2554,0.1012
258,04/15/16 07:06:54 AM,0.0954,-0.3382,0.0998
259,04/15/16 11:06:54 AM,0.0954,-0.1544,0.0991
260,04/15/16 03:06:54 PM,0.0933,0.1216,0.0969
